post_id,community
1913220080726388826,ADHD
1895581185642012760,ADHD
1885222122462875767,ADHD
1903084015130640776,ADHD
1903084188854591685,ADHD
1852471601020670243,ADHD
1854941868624380276,ADHD
1862477411071275072,ADHD
1862477572807819706,ADHD
1842128173233774865,ADHD
1844633786702590403,ADHD
1844643774783541636,ADHD
1844644912790134883,ADHD
1847201876552372388,ADHD
1847390201888596471,ADHD
1849726120704323949,ADHD
1849934381928022151,ADHD
1849945963403628875,ADHD
1837051021119381657,ADHD
1837063218507702399,ADHD
1837065243588956639,ADHD
1839574867781279896,ADHD
1839581324845134179,ADHD
1914236103407923461,ADHD
1914241152913478106,ADHD
1914241156541513815,ADHD
1914241162015130002,ADHD
1914241166721040827,ADHD
1914241172521812065,ADHD
1914241176762228742,ADHD
1914241180868476934,ADHD
1863667967294058912,ADHD
1871045689914048568,ADHD
1878912877614236150,ADHD
1896491994634965160,ADHD
1896492245932544355,ADHD
1899080058762895379,ADHD
1853526891988148417,ADHD
1856099610818715743,ADHD
1856103048218599523,ADHD
1843182061194256695,ADHD
1845733340390768728,ADHD
1845763856770986229,ADHD
1848268361286996051,ADHD
1850810842646040996,ADHD
1850818306552525064,ADHD
1835615864617353239,ADHD
1835626623548240172,ADHD
1838151967740227600,ADHD
1838154079102537933,ADHD
1972590258350129231,ADHD
1840647497372287353,ADHD
1913564214461153295,ADHD
1865464788706316592,ADHD
1865464954704294213,ADHD
1865465266978582803,ADHD
1865466079343964286,ADHD
1867830297519435897,ADHD
1867830379870068939,ADHD
1867830429451268420,ADHD
1867830529883865493,ADHD
1867830587664544088,ADHD
1873060711896686804,ADHD
1873060877731062217,ADHD
1873061741292028026,ADHD
1885645234396164160,ADHD
1890843328494657778,ADHD
1890843634691367212,ADHD
1890843878418227673,ADHD
1890844123243954519,ADHD
1890844341540630797,ADHD
1890844618209550728,ADHD
1875642151000011181,ADHD
1931357703680528761,ADHD
1931481041937867193,ADHD
1931485673489350764,ADHD
1895799755705340200,ADHD
1895800705597800867,ADHD
1895800848778678399,ADHD
1895801066945388704,ADHD
1901051426245161155,ADHD
1903254625253474516,ADHD
1903501408189472949,ADHD
1857732108698968271,ADHD
1860406997570523554,ADHD
1842539283254857970,ADHD
1845006098052304954,ADHD
1845007838160056584,ADHD
1845009480666230877,ADHD
1845011014963613907,ADHD
1845130576073756874,ADHD
1847466634329338001,ADHD
1847466638305579514,ADHD
1847467028283638117,ADHD
1847594208506319069,ADHD
1850095997914886424,ADHD
1850098231507624016,ADHD
1969545848053805255,ADHD
1837437542511116733,ADHD
1839951434168590449,ADHD
1908851155846774839,ADHD
1997518867372151019,ADHD
1997524257702850910,ADHD
1870925689052160294,ADHD
1870932156236914946,ADHD
1870932517630652625,ADHD
1870971983921631675,ADHD
1886027105139380428,ADHD
2020428142100508878,ADHD
1878511204378796240,ADHD
1878511293000188047,ADHD
1881056903200969012,ADHD
1881057277161230372,ADHD
1881057682322559327,ADHD
1881058865602875429,ADHD
1881059348807569464,ADHD
1881060097780273656,ADHD
1881097700818801090,ADHD
1896132066015633871,ADHD
1898761907575918886,ADHD
1901263984654749750,ADHD
1901263988563784137,ADHD
1901263992737124685,ADHD
1853136982752350410,ADHD
1855732472186589302,ADHD
1860598355539214749,ADHD
1860598424833286146,ADHD
1860598517389037895,ADHD
1860783503857627579,ADHD
1842869769080324521,ADHD
1845355697740845215,ADHD
1845357140220768731,ADHD
1847903086305595420,ADHD
1847907694604095623,ADHD
1850456229325267172,ADHD
1850572576499605680,ADHD
1850595056450723917,ADHD
1850597908078297244,ADHD
1837798924595216637,ADHD
1837912957235204449,ADHD
1840306625623580975,ADHD
1912960262866337949,ADHD
1864536836212773059,ADHD
1864672965566120360,ADHD
1864679609205231935,ADHD
1869842321082331546,ADHD
1887590989105115164,ADHD
1879774871070355743,ADHD
1879774984748626186,ADHD
1879990437110485139,ADHD
1900285625041039374,ADHD
1854571954893672780,ADHD
1859608730498629736,ADHD
1859634449924981097,ADHD
1862156422043025506,ADHD
1841735412219297819,ADHD
1841740558479261929,ADHD
1841851051898536438,ADHD
1844312451644342426,ADHD
1849350897609986431,ADHD
1849368979711631382,ADHD
1849411041299435843,ADHD
1852068433825018105,ADHD
1836667435514052659,ADHD
1836672018558718003,ADHD
1839252608663384114,ADHD
1839254270257893676,ADHD
1839300517635268649,ADHD
1839302304807145491,ADHD
1907077327290347914,ADHD
1907209583560654976,ADHD
1891774314464280590,ADHD
1891780113101955512,ADHD
1891782353812382196,ADHD
1891897861681377787,ADHD
1879232298232778770,ADHD
1942540746810352011,ADHD
1942544509616959513,ADHD
1896897297985745092,ADHD
1899252631173738986,ADHD
1899459436097282257,ADHD
1919677650538246211,ADHD
1853703978304868563,ADHD
1988230419096236332,ADHD
1856456485242327371,ADHD
1858943476089462982,ADHD
1841013992753377367,ADHD
1843635028892213615,ADHD
1846107930304696382,ADHD
1846320378148229138,ADHD
1848635889708372466,ADHD
1851231789123006564,ADHD
1851258704517116282,ADHD
1962670310253097376,ADHD
1835899488851915154,ADHD
1835900372382003614,ADHD
1835901568471757148,ADHD
1835902237458997695,ADHD
1835905353646539096,ADHD
1835912799685316798,ADHD
1835956765843685595,ADHD
1835983204462870864,ADHD
1836003921438867662,ADHD
1836064231357042933,ADHD
1836108737771110583,ADHD
1838491043731263991,ADHD
1838542200314929431,ADHD
1838543395792273520,ADHD
1871708778061779205,ADHD
1872025545871159386,ADHD
1892231524231082090,ADHD
1892231693047570472,ADHD
1892231781669065061,ADHD
1892231892205711739,ADHD
1894690994588660081,ADHD
1879629428738727943,ADHD
1881996420124647659,ADHD
1882086528501064109,ADHD
1882132663357808999,ADHD
1897205187376492644,ADHD
1899759945878229288,ADHD
1899891959973499139,ADHD
1899892119566786763,ADHD
1899904038772035795,ADHD
1899968153112752417,ADHD
1904709400033423361,ADHD
1854108825554456970,ADHD
1856638230612807809,ADHD
